MsgID.LOCAL_POSITION,1522889108.9521210,3.5985358,0.1156123,-2.7348435
MsgID.LOCAL_VELOCITY,1522889108.9521210,5.6200557,-0.0169192,0.4398617
MsgID.GLOBAL_POSITION,1522889109.2018938,-122.3957511,37.7933267,2.6900000
MsgID.LOCAL_VELOCITY,1522889109.2018938,6.5700000,-0.0200000,0.3000000
MsgID.LOCAL_POSITION,1522889109.2020931,5.0174174,0.0676492,-2.6901953
MsgID.LOCAL_VELOCITY,1522889109.2020931,6.5787044,-0.0258083,0.3041857
MsgID.STATE,1522889109.4205730,True,True
MsgID.GLOBAL_HOME,1522889109.4207842,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,1522889109.4518480,-122.3957513,37.7933437,2.7030000
MsgID.LOCAL_VELOCITY,1522889109.4518480,7.6100000,-0.0200000,0.1200000
MsgID.LOCAL_POSITION,1522889109.4522800,6.9131870,0.0534931,-2.7039628
MsgID.LOCAL_VELOCITY,1522889109.4522800,7.6189041,-0.0239765,0.1259106
MsgID.GLOBAL_POSITION,1522889109.7017200,-122.3957515,37.7933606,2.6950000
MsgID.LOCAL_VELOCITY,1522889109.7017200,8.2800000,-0.0200000,0.2000000
MsgID.LOCAL_POSITION,1522889109.7022619,8.7846394,0.0371433,-2.6952419
MsgID.LOCAL_VELOCITY,1522889109.7022619,8.2871361,-0.0228297,0.2042170
MsgID.GLOBAL_POSITION,1522889109.9520440,-122.3957516,37.7933813,2.6700000
MsgID.LOCAL_VELOCITY,1522889109.9520440,8.7200000,-0.0100000,0.0500000
MsgID.LOCAL_POSITION,1522889109.9524879,11.0867891,0.0292167,-2.6700802
MsgID.LOCAL_VELOCITY,1522889109.9524879,8.7224503,-0.0195854,0.0523004
MsgID.LOCAL_POSITION,1522889110.2010140,13.1334972,0.0217661,-2.6693802
MsgID.LOCAL_VELOCITY,1522889110.2010140,8.8307590,-0.0196702,-0.0613355
MsgID.GLOBAL_POSITION,1522889110.2014611,-122.3957517,37.7933997,2.6690000
MsgID.LOCAL_VELOCITY,1522889110.2014611,8.8300000,-0.0100000,-0.0600000
MsgID.STATE,1522889110.4213362,True,True
MsgID.GLOBAL_HOME,1522889110.4217589,-122.3957519,37.7932815,0.0000000
MsgID.LOCAL_POSITION,1522889110.4532611,15.4616919,0.0139637,-2.6822186
MsgID.LOCAL_VELOCITY,1522889110.4532611,8.8666162,-0.0181820,-0.1187760
MsgID.GLOBAL_POSITION,1522889110.4540439,-122.3957517,37.7934207,2.6820000
MsgID.LOCAL_VELOCITY,1522889110.4540439,8.8600000,-0.0100000,-0.1100000
MsgID.LOCAL_POSITION,1522889110.7027390,17.4601326,0.0067925,-2.6680093
MsgID.LOCAL_VELOCITY,1522889110.7027390,8.8480968,-0.0159655,0.0017826
MsgID.GLOBAL_POSITION,1522889110.7031710,-122.3957518,37.7934386,2.6680000
MsgID.LOCAL_VELOCITY,1522889110.7031710,8.8400000,-0.0100000,0.0000000
MsgID.LOCAL_POSITION,1522889110.9528639,19.7822342,-0.0910583,-2.6610029
MsgID.LOCAL_VELOCITY,1522889110.9528639,8.9101877,-0.0097280,-0.1990358
MsgID.GLOBAL_POSITION,1522889110.9531379,-122.3957529,37.7934595,2.6610000
MsgID.LOCAL_VELOCITY,1522889110.9531379,8.9100000,0.0000000,-0.1900000
MsgID.LOCAL_POSITION,1522889111.2029140,21.9807491,-0.1201052,-2.6752615
MsgID.LOCAL_VELOCITY,1522889111.2029140,8.8845577,0.0449884,-0.1200212
MsgID.GLOBAL_POSITION,1522889111.2032580,-122.3957533,37.7934793,2.6750000
MsgID.LOCAL_VELOCITY,1522889111.2032580,8.8800000,0.0400000,-0.1200000
MsgID.STATE,1522889111.4202340,True,True
MsgID.GLOBAL_HOME,1522889111.4204609,-122.3957519,37.7932815,0.0000000
MsgID.LOCAL_POSITION,1522889111.4526629,24.3392830,0.0703190,-2.6750355
MsgID.LOCAL_VELOCITY,1522889111.4526629,8.5964508,0.1035566,-0.0600419
MsgID.GLOBAL_POSITION,1522889111.4531310,-122.3957511,37.7935006,2.6750000
MsgID.LOCAL_VELOCITY,1522889111.4531310,8.5900000,0.1000000,-0.0600000
MsgID.LOCAL_POSITION,1522889111.7034340,26.2025471,0.1398163,-2.6696928
MsgID.LOCAL_VELOCITY,1522889111.7034340,7.0079193,0.0242057,-0.1410070
MsgID.GLOBAL_POSITION,1522889111.7039812,-122.3957503,37.7935173,2.6690000
MsgID.LOCAL_VELOCITY,1522889111.7039812,7.0000000,0.0200000,-0.1400000
MsgID.LOCAL_POSITION,1522889111.9521699,27.7832832,0.2420547,-2.6977451
MsgID.LOCAL_VELOCITY,1522889111.9521699,5.3018537,0.5028089,-0.0827788
MsgID.GLOBAL_POSITION,1522889111.9531090,-122.3957492,37.7935316,2.6970000
MsgID.LOCAL_VELOCITY,1522889111.9531090,5.3000000,0.5000000,-0.0800000
MsgID.GLOBAL_POSITION,1522889112.2029271,-122.3957466,37.7935408,2.6940000
MsgID.LOCAL_VELOCITY,1522889112.2029271,4.5400000,1.4300000,0.0600000
MsgID.LOCAL_POSITION,1522889112.2032299,28.8061981,0.4688212,-2.6944408
MsgID.LOCAL_VELOCITY,1522889112.2032299,4.5409212,1.4366311,0.0646835
MsgID.STATE,1522889112.4202769,True,True
MsgID.GLOBAL_HOME,1522889112.4204850,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,1522889112.4539590,-122.3957426,37.7935521,2.6880000
MsgID.LOCAL_VELOCITY,1522889112.4539590,3.5900000,2.5200000,0.0700000
MsgID.LOCAL_POSITION,1522889112.4542730,30.0611668,0.8312606,-2.6883256
MsgID.LOCAL_VELOCITY,1522889112.4542730,3.5941126,2.5213351,0.0786427
MsgID.GLOBAL_POSITION,1522889112.7037079,-122.3957334,37.7935590,2.6890000
MsgID.LOCAL_VELOCITY,1522889112.7037079,2.7400000,3.4400000,0.0000000
MsgID.LOCAL_POSITION,1522889112.7038999,30.8350182,1.6469121,-2.6895666
MsgID.LOCAL_VELOCITY,1522889112.7038999,2.7479463,3.4454606,0.0041920
MsgID.GLOBAL_POSITION,1522889112.9543731,-122.3957231,37.7935633,2.7020000
MsgID.LOCAL_VELOCITY,1522889112.9543731,1.8800000,4.3400000,0.0900000
MsgID.LOCAL_POSITION,1522889112.9546161,31.3114662,2.5600314,-2.7026458
